id,label
0,1513
1,1519
2,1508
3,1517
4,1535
5,1527
6,1515
7,1520
8,1533
9,1528
10,1534
11,1530
12,1514
13,1542
14,1538
15,1550
16,1554
17,1559
18,1560
19,1547
20,1561
21,1555
22,1563
23,1537
24,1562
25,1565
26,1566
27,1552
28,1558
29,1567
30,1568
31,1564
32,1571
33,1574
34,1553
35,1575
36,1576
37,1577
38,1578
39,1569
40,1581
41,1572
42,1583
43,1584
44,1585
45,1588
46,1582
47,1587
48,1590
49,1591
50,1589
51,1592
52,1594
53,1586
54,1593
55,1595
56,1597
57,1596
58,1598
59,1599
60,1570
61,1600
62,1601
63,1602
64,1603
65,1604
66,1605
67,1606
68,1607
69,1608
70,1609
71,1610
72,1611
73,1612
74,1613
75,1614
76,1615
77,1616
78,1617
79,1618
80,1619
81,1620
82,1621
83,1622
84,1623
85,1624
86,1625
87,1626
88,1627
89,1628
90,1629
91,1631
92,1632
93,1633
94,1630
95,1634
96,1635
97,1636
98,1637
99,1638
100,1639
101,1640
102,1641
103,1642
104,1643
105,1645
106,1646
107,1647
108,1648
109,1649
110,1650
111,1651
112,1652
113,1653
114,1654
115,1655
116,1656
117,1657
118,1658
119,1659
120,1660
121,1497
122,1496
123,1540
