deep_id,companie_id,uncertain
5074.04,6,false
5074.05,6,false
5074.06,13,false
5074.07,13,false
5074.08,13,false
5074.09,13,false
5074.10,13,false
5074.11,7,false
5074.12,7,false
5074.13,17,false
5074.14,17,false
5074.15,7,false
5074.16,7,false
5076.01,6,false
5076.02,6,false
5076.03,13,false
5076.04,13,false
5076.05,7,false
5076.06,7,false
5076.07,17,false
5076.08,7,false
5076.09,7,false
5097.01,20,false
5097.02,20,false
5097.03,7,false
5097.04,7,false
5098,0,false
5098,1,false
5098.02,0,false
5098.02,1,false
5098.03,0,false
5098.03,1,false
5098.04,0,false
5098.04,1,false
5098.05,1,false
5098.06,1,false
5098.07,1,false
5098.08,1,false
5099,0,false
5099,1,false
5102.02,11,false
5102.03,11,false
5102.09,17,false
5102.10,17,false
5102.11,17,false
5102.12,17,false
5118.01,15,false
5118.05,15,false
5118.06,15,false
5118.09,24,false
5119,7,false
5132,15,false
5132.01,15,false
5132.02,15,false
5135.01,7,false
5135.02,7,false
5135.03,7,false
5135.04,7,false
5138.01,7,false
5138.02,7,false
5138.03,7,false
5139.01,7,false
5139.02,7,false
5139.03,7,false
5145,7,false
5145.01,7,false
5145.02,7,false
5146.02,7,false
5147.01,9,false
5147.02,9,false
5147.04,17,false
5148.03,17,false
5148.05,17,false
5148.06,11,false
5148.07,11,false
5149.01,7,false
5149.02,15,false
5149.03,7,false
5149.04,15,false
5149.05,15,false
5149.06,15,false
5149.07,24,false
5153.02,7,false
5153.03,7,false
5156.01,15,false
5156.02,15,false
5161,7,false
5162,7,false
5165,7,false
5165.01,7,false
5165.02,7,false
5165.03,7,false
5170,15,false
5182.01,15,false
5182.02,15,false
