deep_id,publisher_id,uncertain
722,113,false
723,113,false
730,128,false
731,129,false
732,130,false
734,131,false
735,131,false
737,90,false
738,122,false
739,81,false
740,132,false
741,132,false
742,133,false
743,133,false
744,52,false
745,133,false
746,133,false
747,133,false
748,125,false
749,125,false
750,133,false
751,52,false
752,125,false
753,109,false
754,109,false
755,71,false
756,120,false
757,120,false
758,120,false
759,120,false
760,120,false
761,73,false
764,131,false
765,109,false
766,109,false
767,77,false
768,59,false
773,134,false
774,134,false
775,62,false
776,62,false
778,135,false
779,135,false
780,136,false
781,137,false
782,120,false
783,132,false
784,132,false
785,138,false
785,132,false
787,62,false
788,125,false
789,109,false
790,133,false
791,133,false
792,139,false
794,109,false
795,140,false
804,134,false
805,132,false
806,132,false
808,73,false
808,59,false
809,59,false
810,139,false
811,131,false
812,141,false
813,59,false
814,139,false
815,142,false
816,139,false
817,142,false
818,62,false
819,132,false
822,62,false
823,143,false
824,143,false
826,139,false
827,139,false
828,139,false
829,139,false
830,139,false
831,139,false
832,141,false
833,142,false
834,142,false
835,125,false
836,144,false
836,145,false
837,136,false
839,120,false
840,120,false
841,120,false
842,139,false
843,126,false
845,134,false
846,62,false
847,59,false
848,59,false
849,146,false
850,146,false
851,146,false
852,114,true
853,130,false
854,62,false
855,62,false
856,62,false
857,141,false
863,147,false
864,147,false
865,125,false
865,126,false
866,81,false
867,81,false
868,114,true
869,148,false
870,139,false
870,149,false
871,139,false
871,149,false
872,139,false
872,149,false
873,125,false
874,139,false
874,149,false
876,139,false
876,149,false
877,140,false
878,120,false
879,81,false
880,120,false
881,120,false
883,131,false
887,150,false
888,150,false
889,119,false
890,139,false
890,149,false
891,149,false
892,139,false
893,149,false
894,151,false
895,151,false
898,131,false
899,147,false
902,120,false
903,81,false
904,120,false
905,81,false
906,147,false
911,139,false
911,149,false
912,139,false
912,149,false
913,120,false
914,81,false
915,120,false
916,120,false
917,81,false
918,119,false
919,81,false
920,152,false
921,152,false
922,125,false
923,125,false
928,153,false
930,139,false
931,139,false
932,139,false
932,149,false
933,154,false
934,154,false
935,155,false
935,37,false
940,156,false
941,157,false
942,158,false
943,158,false
944,120,false
945,139,false
945,149,false
946,149,false
947,139,false
947,149,false
948,139,false
948,149,false
949,149,false
950,149,false
951,159,false
952,139,false
953,160,false
963,160,false
964,160,false
966,161,false
966,162,false
967,52,false
968,52,false
969,109,false
970,109,false
971,109,false
972,139,false
973,139,false
974,149,false
975,149,false
976,109,false
977,109,false
978,163,false
979,163,false
980,164,false
981,165,false
982,165,false
983,166,false
984,148,false
987,161,false
987,162,false
988,129,false
994,161,false
995,81,false
996,81,false
997,120,false
998,167,false
1000,81,false
1002,81,false
1003,81,false
1004,81,false
1006,81,false
1009,168,false
1015,156,false
1016,156,false
1017,156,false
1023,81,false
1032,81,false
1032,140,false
1033,81,false
1033,140,false
1035,166,false
1036,81,false
1036,140,false
1037,169,false
1037,170,false
1037,100,false
1044,171,false
1044,172,false
1045,134,false
1046,134,false
1047,173,false
1048,81,false
1049,174,false
1050,174,false
1051,175,false
1052,176,false
1052,177,false
1053,178,false
1054,179,false
1055,180,false
1057,181,false
1058,169,false
1058,170,false
1058,100,false
1059,81,false
1060,81,false
1061,169,false
1061,170,false
1061,100,false
1062,182,false
1062,183,false
1063,184,false
1065,175,false
1066,175,false
1067,185,false
1068,81,false
1069,81,false
1070,186,false
1070,37,false
1071,37,false
1071,187,false
1072,37,false
1072,187,false
1073,130,false
1074,188,false
1075,189,false
1076,189,false
1077,190,false
1078,190,false
1078,191,false
1079,190,false
1079,191,false
1080,81,false
1080,140,false
1081,81,false
1081,140,false
1082,81,false
1082,140,false
1083,81,false
1083,140,false
1084,81,false
1084,140,false
1085,81,false
1085,140,false
1086,81,false
1087,81,false
1088,190,false
1089,190,false
1090,190,false
1091,81,false
1092,190,false
1093,190,false
1095,81,false
1097,169,false
1097,170,false
1097,100,false
1098,59,false
1099,189,false
1102,180,false
1102,192,false
1103,180,false
1103,192,false
1104,180,false
1104,192,false
1105,180,false
1105,192,false
1106,81,false
1106,191,false
1107,149,false
1108,149,false
1109,193,false
1109,194,false
1109,195,false
1110,81,false
1111,81,false
1113,188,false
1114,81,false
1115,81,false
1116,99,false
1116,100,false
1117,196,false
1117,179,false
1118,99,false
1118,100,false
1119,197,false
1120,197,false
1121,197,false
1122,194,false
1123,99,false
1123,100,false
1124,198,false
1125,188,false
1126,188,false
1127,188,false
1128,188,false
1129,188,false
1130,188,false
1131,188,false
1132,197,false
1133,199,false
1134,200,false
1137,201,false
1138,202,false
1139,202,false
1143,188,false
1144,114,false
1145,114,false
1147,81,false
1148,81,false
1149,203,false
1149,204,false
1150,205,false
1151,123,false
1154,197,false
1155,188,false
1156,188,false
1157,188,false
1158,188,false
1159,188,false
1160,188,false
1162,197,false
1163,206,false
1165,207,false
1166,195,false
1167,208,false
1167,209,true
1168,191,false
1169,210,false
1170,197,false
1171,79,false
1173,192,false
1173,191,false
1174,54,false
1174,211,false
1178,200,false
1178,149,false
1179,210,false
1180,212,false
1186,65,false
1187,65,false
1189,213,false
1190,65,false
1191,65,false
1193,91,false
1194,91,false
1195,91,false
1195,214,false
1198,128,false
1199,84,false
1200,149,false
1203,91,false
1204,91,false
1205,140,false
1206,131,false
1209,188,false
1212,99,false
1212,100,false
1213,99,false
1213,100,false
5004,15,false
5006,215,false
5007,215,false
5008,215,false
5014,9,false
5016,7,false
5016.01,7,false
5018,9,false
5020,19,false
5020.01,19,false
5021,18,false
5021.02,18,false
5022,87,false
5023,107,false
5023.02,107,false
5024,19,false
5024.01,19,false
5027,39,false
5028,39,false
5028.01,39,false
5029,39,false
5029.01,39,false
5030,19,false
5032,39,false
5033,60,false
5034,39,false
5035,60,false
5037,39,false
5037,60,false
5038,39,false
5039,60,false
5040,60,false
5041,39,false
5044,39,false
5044,216,false
5044,217,false
5045,125,false
5045,216,false
5047,39,false
5047.01,39,false
5048,218,false
5049,218,false
5049,219,false
5050,56,false
5054,39,false
5055,39,false
5059,65,false
5060,65,false
5060.02,65,false
5061,65,false
5061.01,65,false
5061.02,65,false
5061.03,65,false
5063,39,false
5063.02,39,false
5063.02,65,false
5064,39,false
5064.01,39,false
5064.02,39,false
5064.04,39,false
5065,39,false
5065.01,39,false
5065.02,39,false
5065.03,39,false
5065.04,39,false
5065.05,39,false
5066,39,false
5067,65,false
5067.01,65,false
5068,72,false
5069,72,false
5070,72,false
5070.02,72,false
5071,104,false
5071.01,104,false
5073,104,false
5074.03,30,false
5074.04,30,false
5074.08,60,false
5074.09,60,false
5077,20,false
5077.03,20,false
5079,39,false
5079.01,39,false
5079.02,39,false
5079.03,39,false
5079.04,39,false
5079.05,39,false
5080,125,false
5081,65,false
5081,30,false
5081,220,false
5081,43,false
5082,132,false
5084,43,false
5085,49,false
5086,62,false
5087,30,false
5088,132,false
5089,132,false
5091,130,false
5092,130,false
5093,132,false
5094,132,false
5096,132,false
5097,132,false
5097.01,132,false
5097.02,132,false
5097.03,132,false
5097.04,132,false
5098,65,false
5098.02,65,false
5098.03,65,false
5098.04,65,false
5098.05,65,false
5098.06,65,false
5098.07,65,false
5098.08,65,false
5099,65,false
5100,130,false
5101,131,false
5102,59,false
5102.02,59,false
5102.03,59,false
5102.04,59,false
5102.05,59,false
5102.06,59,false
5102.07,59,false
5102.08,59,false
5102.09,59,false
5102.10,59,false
5102.11,59,false
5102.12,59,false
5103,59,false
5104,132,false
5105,221,false
5107,147,false
5108,147,false
5111,222,false
5111.01,222,false
5111.02,222,false
5112,222,false
5112.01,222,false
5112.02,222,false
5113,222,false
5114.02,222,false
5114.04,134,false
5117,222,false
5118.01,147,false
5118.02,147,false
5118.03,147,false
5118.05,147,false
5118.09,159,false
5118.10,160,false
5119,36,false
5119,37,false
5120,126,false
5120.01,126,false
5120.02,126,false
5121,126,false
5122,126,false
5123,126,false
5124,62,false
5124,120,false
5125,62,false
5125,120,false
5126,120,false
5126.01,120,false
5126.02,120,false
5127,120,false
5127.01,120,false
5128,81,false
5128.01,81,false
5129,81,false
5130,223,false
5130.01,223,false
5131,208,false
5131.01,208,false
5132,149,false
5132.01,149,false
5132.02,149,false
5133,81,false
5134,81,false
5134.01,81,false
5135,81,false
5135.01,81,false
5135.02,120,false
5135.03,81,false
5135.04,81,false
5136,81,false
5137,81,false
5138,81,false
