deep_id,printer_id,uncertain
501,57,false
502,57,false
503,97,false
503,57,false
504,72,false
505,72,false
506,72,false
507,72,false
508,72,false
509,40,false
510,40,false
511,98,false
512,58,false
513,72,false
514,55,false
515,68,false
516,2,false
517,73,false
518,57,false
519,64,false
520,72,false
521,23,false
522,40,false
523,40,false
524,57,false
525,23,false
526,23,false
527,68,false
528,62,false
529,88,false
530,98,false
530,73,false
531,99,false
532,73,false
533,73,false
534,73,false
535,55,false
536,70,false
537,70,false
538,72,false
539,72,false
540,73,false
541,73,false
542,73,false
543,73,false
544,23,false
545,23,false
546,53,false
546,58,false
547,53,false
547,58,false
548,65,false
549,69,false
550,69,false
551,100,false
552,73,false
553,23,false
554,68,false
555,23,false
556,100,false
557,55,false
558,2,false
559,62,false
560,23,false
561,72,false
562,72,false
563,72,false
564,69,false
565,79,false
566,79,false
567,73,false
568,57,false
569,57,false
570,62,true
571,73,false
572,73,false
573,62,false
574,73,false
575,57,false
576,73,false
577,62,false
578,73,false
579,79,false
580,62,false
581,62,false
582,58,false
583,73,false
584,69,false
585,79,false
586,58,false
587,58,false
588,101,false
589,101,false
590,72,false
591,72,false
592,101,false
593,73,false
594,73,false
595,73,false
596,73,false
597,2,false
598,2,false
599,79,false
600,79,false
601,73,false
602,69,false
603,69,false
603,102,false
604,73,false
605,73,false
606,73,false
607,73,false
608,73,false
609,89,false
610,23,false
611,73,false
612,55,false
613,103,false
614,23,false
614,79,false
615,23,false
615,79,false
616,104,false
617,62,false
618,62,false
619,74,false
620,58,false
621,55,false
622,55,false
623,58,false
624,58,false
625,73,false
626,73,false
627,73,false
628,73,false
629,58,false
630,74,false
631,73,false
632,73,false
633,89,false
634,55,false
635,60,false
635,87,false
636,55,false
637,76,false
638,93,false
639,105,true
640,105,true
641,74,false
642,53,false
643,69,false
644,55,false
645,74,false
646,74,false
647,73,false
648,2,false
649,73,false
650,72,false
651,72,false
652,55,false
653,62,false
654,56,false
655,60,false
656,73,false
657,72,false
658,72,false
659,99,false
660,73,false
661,73,false
662,74,false
663,55,false
664,106,false
665,75,false
666,2,false
667,2,false
668,62,false
669,73,false
670,89,false
671,79,false
672,55,false
673,106,false
674,2,false
675,2,false
676,62,false
677,73,false
678,73,false
679,73,false
680,55,false
681,107,false
682,106,false
683,106,false
684,2,false
685,105,true
686,60,false
687,74,false
688,74,false
689,73,false
690,23,false
691,73,false
692,93,false
693,93,false
694,73,false
695,55,false
696,2,false
697,60,false
698,60,false
699,60,false
699,87,false
700,60,false
701,2,false
702,2,false
703,72,false
704,72,false
705,73,false
706,60,false
707,55,false
708,55,false
709,2,false
710,60,false
711,88,false
712,73,false
713,55,false
714,73,false
715,88,false
716,88,false
717,2,false
718,23,false
719,88,false
720,88,false
721,73,false
722,55,false
722,69,false
723,55,false
724,2,false
725,73,false
726,73,false
727,73,false
728,108,false
728,23,false
728,55,false
729,73,false
730,2,false
731,55,false
732,103,false
733,73,false
733,69,false
734,101,false
735,101,false
736,73,false
737,101,false
738,62,false
739,2,false
740,60,false
740,87,false
741,60,false
741,87,false
742,73,false
743,89,false
744,2,false
745,55,false
746,100,false
747,64,false
748,55,false
749,78,false
750,60,false
750,87,false
