id,label
0,1515
1,1518
2,1522
3,1520
4,1528
5,1525
6,1531
7,1533
8,1534
9,1530
10,1544
11,1545
12,1547
13,1548
14,1551
15,1550
16,1565
17,1559
18,1560
19,1561
20,1562
21,1563
22,1566
23,1567
24,1568
25,1558
26,1569
27,1570
28,1571
29,1573
30,1574
31,1575
32,1576
33,1577
34,1578
35,1581
36,1584
37,1585
38,1587
39,1588
40,1589
41,1590
42,1591
43,1592
44,1593
45,1594
46,1595
47,1596
48,1597
49,1598
50,1599
51,1600
52,1601
53,1602
54,1603
55,1604
56,1605
57,1606
58,1607
59,1608
60,1609
61,1610
62,1611
63,1612
64,1616
65,1613
66,1614
67,1615
68,1617
69,1618
70,1619
71,1620
72,1621
73,1622
74,1623
75,1624
76,1625
77,1626
78,1627
79,1628
80,1629
81,1630
82,1631
83,1632
84,1633
85,1634
86,1635
87,1636
88,1637
89,1638
90,1639
91,1640
92,1641
93,1642
94,1643
95,1646
96,1647
97,1648
98,1649
99,1650
100,1651
101,1652
102,1653
103,1654
104,1655
105,1656
106,1657
107,1658
108,1659
109,1660
110,1512
111,1535
112,1645
