id,label
0,14039
1,14039.5
2,14040
3,10604
4,10604.5
5,10606
6,10606.5
7,25982
8,20722
9,14109.5
10,20721
11,22607
12,23894
13,13298
14,13299
15,18793.5
16,13305
17,13305.5
18,13306
19,13307
20,13303
21,13304
22,20765.5
23,14111
24,14111a
25,14112
26,13300
27,13301
28,13302
29,14109.7
30,1305
31,1306
32,1279
33,1287
34,1288
35,14109.3
36,14643
37,14109.2
38,14110
39,22227
40,22227a
41,22228
42,22226
43,14112.5
44,14113
45,25016
46,25017
47,13251
48,22223
49,14837
50,14837a
51,14837a.5
52,22225
53,23949
54,275
55,18684
56,18685
57,17029 (pt. 2)
58,6277
59,6278
60,25148
61,25149
62,25149.5
63,22222
64,24934
65,22224
66,22229
67,24508
68,24932
69,24932a
70,19917
71,24271
72,11473
73,11473.5
74,11474
75,14326.5
76,14327
77,19865
78,24935
79,14085
80,17466
81,20287
82,20287.5
83,20288
84,24933
85,7514
86,7515
87,6150
88,18419
89,18550
90,1059
91,23263
92,11643a
93,11643
94,5592
95,5592a
96,25018
97,2047
98,16949
99,11627
100,11628
101,5226
102,11632.5
103,11990
104,25966
105,25966.5
106,17086
107,17086.5
108,17087
109,19530
110,17047.5
111,17048
112,17048a
113,17049
114,25784
115,25785
116,19447
117,19533
118,7596
119,13921
120,not in STC
121,23895
122,24286
123,25783
124,17428
125,17428a
126,18423
127,7583
128,17050
129,19532
130,14644 (pt. 2)
131,3907.5
132,3907.7
133,25764
134,25764a
135,17080
136,17083
137,733
138,734
139,735
140,735.3
141,11623
142,22894
143,22895
144,22895a
145,15086
146,15087
147,15088
148,15089
149,15089a
150,15090
151,15091a
152,15091
153,15092
154,15093a
155,15093
156,15094
157,19535
158,19536
159,7675
160,7676
161,23356
162,23357
163,15027
164,11622
165,11622a
166,22328
167,22329
168,22330
169,16679
170,16680
171,16681
172,16681.5
173,16682
174,26099
175,26100
176,23667
177,23668
178,23669
179,22327
180,12267
181,12268
182,G1828
183,16678
184,12265
185,12266
186,25781
187,17084
188,17085
189,21009
190,19531
191,17441
192,17437
193,17438
194,17439
195,17439.5
196,17440
197,17440a
198,12310a
199,12310b
200,6160
201,in 6261
202,17423
203,25782
204,20002
205,21528
206,19545
207,21006
208,21006a
209,15028
210,7501
211,7502
212,22307
213,22308
214,22309
215,22310
216,22311
217,22312
218,22313
219,22314
220,22315
221,22316
222,22317
223,22318
224,22319
225,22320
226,22321
227,22322
228,22323
229,22324
230,22325
231,22325a
232,22326
233,17090
234,22279a
235,22280
236,22281
237,22282
238,22283
239,22284
240,22285
241,22286
242,22287
243,4965
244,3544
245,13072
246,13073
247,13074
248,12308
249,22294
250,22295
251,18230
252,18231
253,18232
254,18233
255,18234
256,18235
257,18236
258,18237
259,18237.5
260,18238
261,18238.5
262,18239
263,18240
264,18241
265,G1829
266,25089
267,12233
268,5450a
269,12212
270,4987
271,19540
272,20121.5
273,20122
274,6517
275,14767
276,14768
277,14769
278,17188
279,22289
280,22290
281,22291
282,18795
283,18796
284,22288
285,22288a
286,22304
287,6991
288,22302
289,22303
290,25144
291,25145
292,22296
293,22297
294,22298
295,Wing S2938
296,18376
297,16799
298,6523
299,6524
300,6525
301,6526
302,6527
303,D863
304,14766
305,7243
306,7244
307,7245
308,17082
309,18271
310,18269
311,14773
312,26076
313,12415
314,12416
315,17473
316,17474
317,14781
318,22299
319,22300
320,22301
321,17876
322,21532
323,21533
324,5593
325,5594
326,5595
327,5596
328,5597
329,5598
330,5599
331,5600
332,16754
333,6520.7
334,6521
335,349
336,350
337,22275
338,22276
339,22276a
340,22277
341,22278
342,22279
343,6518
