deep_id,auspice_id,uncertain
748,16,false
749,16,false
750,23,false
751,23,false
752,21,false
753,21,false
755,15,false
756,16,false
757,16,false
758,16,false
759,16,false
761,6,false
764,17,false
765,21,false
766,21,false
767,16,false
769,1,false
770,1,false
771,1,false
772,1,false
773,17,false
774,23,false
781,24,false
786,16,false
788,16,false
789,1,false
790,25,false
791,25,false
792,26,false
793,16,false
794,16,false
797,17,false
798,17,false
799,17,false
805,20,false
806,20,false
807,19,false
808,20,false
809,20,false
811,23,false
812,4,false
813,20,false
814,23,false
815,23,false
816,23,false
817,16,false
818,25,false
821,23,false
823,23,false
824,23,false
832,1,false
833,23,false
834,23,false
835,16,false
836,23,false
837,16,false
842,23,false
843,23,false
849,23,false
850,23,false
851,23,false
852,23,false
853,23,false
854,16,false
855,16,false
856,16,false
857,23,false
858,16,false
859,1,false
863,23,false
864,23,false
865,16,false
866,16,false
867,16,false
868,16,false
869,13,false
870,23,false
871,23,false
872,23,false
873,1,false
874,23,false
876,23,false
878,27,false
879,27,false
882,17,false
883,23,false
884,17,false
885,17,false
886,16,false
887,16,false
888,16,false
889,17,false
890,23,false
891,23,false
892,23,false
893,16,false
894,16,false
895,16,false
896,28,false
896,23,false
897,28,false
897,23,false
899,1,false
900,1,false
901,1,false
902,16,false
903,16,false
904,16,false
905,16,false
906,23,false
907,23,false
908,23,false
909,1,false
911,23,false
912,21,false
913,1,false
914,1,false
915,1,false
916,1,false
917,1,false
918,27,false
920,27,false
921,27,false
922,21,false
923,16,false
928,1,false
929,1,false
930,23,false
931,23,false
932,21,false
933,16,false
934,16,false
935,16,false
936,16,false
938,1,false
939,16,false
940,16,false
941,22,false
942,29,false
943,29,false
945,23,false
946,23,false
947,21,false
948,23,false
949,23,false
950,23,false
951,27,false
952,23,false
953,26,false
962,30,false
963,22,false
964,26,false
965,26,false
966,23,false
969,23,false
970,26,false
971,26,false
972,16,false
973,16,false
974,1,false
975,1,false
976,27,false
977,27,false
978,28,false
978,23,false
979,28,false
979,23,false
980,23,false
983,1,false
984,23,false
985,16,false
987,23,false
990,28,false
994,16,false
995,16,false
996,16,false
997,16,false
999,16,false
1000,16,false
1003,16,false
1004,16,false
1009,16,false
1013,1,false
1015,1,false
1016,1,false
1017,1,false
1032,16,false
1033,16,false
1036,16,false
1048,16,false
1059,16,false
1060,16,false
1061,1,false
1062,27,false
1068,21,false
1069,21,false
1073,23,false
1074,23,false
1075,1,false
1076,1,false
1077,21,false
1078,26,false
1079,27,false
1080,16,false
1081,16,false
1082,28,false
1082,16,false
1083,16,false
1084,16,false
1085,22,false
1086,16,false
1087,16,false
1088,1,false
1089,1,false
1090,1,false
1091,1,false
1092,27,false
1093,27,false
1094,27,false
1095,27,false
1096,1,false
1098,27,false
1102,17,false
1103,1,false
1104,17,false
1105,26,false
1110,28,false
1110,23,false
1111,28,false
1111,23,false
1113,23,false
1114,28,false
1114,23,false
1115,28,false
1115,23,false
1117,23,false
1119,31,false
1120,31,false
1121,31,false
1124,1,false
1125,21,false
1126,21,false
1127,21,false
1128,21,false
1129,21,false
1130,21,false
1131,21,false
1132,31,false
1133,1,false
1134,16,false
1135,30,false
1136,30,false
1137,30,false
1144,6,false
1145,6,false
1146,6,false
1147,21,false
1148,16,false
1150,1,false
1151,19,false
1154,31,false
1155,16,false
1156,16,false
1157,16,false
1158,16,false
1159,16,false
1160,16,false
1170,31,false
1173,6,false
1174,1,false
1178,26,false
5014.01,1,false
5014.02,1,false
5017.01,6,false
5017.02,6,false
5018.01,6,false
5018.02,6,false
5019.01,6,false
5019.02,6,false
5021.01,5,false
5021.02,5,false
5022.01,5,false
5022.02,5,false
5023.01,5,false
5023.02,5,false
5048.01,4,false
5048.02,4,false
5049.01,4,false
5049.02,4,false
5050.01,4,false
5050.02,4,false
5051.01,4,false
5051.02,4,false
5052.01,4,false
5052.02,4,false
5053.01,4,false
5053.02,4,false
5063.02,14,false
5064.01,14,false
5065.01,14,false
5065.02,14,false
5067.01,14,false
5069.01,14,false
5069.02,14,false
5070.01,14,false
5070.02,14,false
5074.01,8,false
5074.02,8,false
5074.03,8,false
5074.04,8,false
5074.05,8,false
5074.06,12,false
5074.07,12,false
5074.08,12,false
5074.09,12,false
5074.10,12,false
5074.11,16,false
5074.12,16,false
5074.13,14,false
5074.14,14,false
5074.15,16,false
5074.16,16,false
5076.01,8,false
5076.02,8,false
5076.03,12,false
5076.04,12,false
5076.05,16,false
5076.06,16,false
5076.07,14,false
5076.08,16,false
5076.09,16,false
5077.01,7,false
5077.02,7,false
5077.03,16,false
5079.01,14,false
5081.01,16,false
5081.02,8,false
5081.03,8,false
5081.04,16,false
5081.05,4,false
5081.06,8,false
5081.07,8,false
5081.08,8,false
5081.09,8,false
5081.10,8,false
5081.11,1,false
5081.12,8,false
5081.13,8,false
5081.14,16,false
5081.15,8,false
5081.16,8,false
5081.17,8,false
5081.18,8,false
5081.19,8,false
5081.20,4,false
5081.21,7,false
5081.22,7,false
5081.23,1,false
5081.24,16,false
5081.25,8,false
5081.26,16,false
5081.27,1,false
5081.28,8,false
5081.29,1,false
5081.30,8,false
5081.31,16,false
5081.32,8,false
5081.33,16,false
5081.34,16,false
5081.35,16,false
5081.36,16,false
5082.01,16,false
5082.02,8,false
5082.03,8,false
5082.04,16,false
5082.05,4,false
5082.06,8,false
5082.07,8,false
5082.08,8,false
5082.09,8,false
5082.10,8,false
5082.11,1,false
5082.12,8,false
5082.13,8,false
5082.14,16,false
5082.15,8,false
5082.16,8,false
5082.17,8,false
5082.18,8,false
5082.19,8,false
5082.20,4,false
5082.21,7,false
5082.22,7,false
5082.23,1,false
5082.24,16,false
5082.25,8,false
5082.26,16,false
5082.27,1,false
5082.28,8,false
5082.29,1,false
5082.30,8,false
5082.31,16,false
5082.32,8,false
5082.33,16,false
5082.34,16,false
5082.35,16,false
5082.36,16,false
5097.01,21,false
5097.02,21,false
5097.03,16,false
5097.04,16,false
5098.01,2,false
5098.02,0,false
5098.02,2,false
5098.03,0,false
5098.03,2,false
5098.04,0,false
5098.04,2,false
5098.05,2,false
5098.06,2,false
5098.07,2,false
5098.08,2,false
5102.01,10,false
5102.02,10,false
5102.03,10,false
5102.04,14,false
5102.05,14,false
