deep_id,author_id,uncertain
448,65,false
449,69,false
450,87,false
451,88,false
452,88,false
453,88,false
454,88,false
455,88,false
456,88,false
457,88,false
458,0,false
459,0,false
460,68,false
461,0,false
462,0,false
463,0,false
464,81,false
465,81,false
466,81,false
467,81,false
468,89,false
468,90,false
469,89,false
469,90,false
470,89,false
470,90,false
471,89,false
471,90,false
472,65,false
473,65,false
474,65,false
475,65,false
476,65,false
477,65,false
478,91,false
479,91,false
480,91,false
481,91,false
482,86,false
482,92,false
482,93,false
483,86,false
483,92,false
483,93,false
484,92,false
485,92,false
486,92,false
487,92,false
488,68,false
488,82,false
489,81,false
490,73,false
491,81,true
492,81,true
493,94,false
494,94,false
495,91,false
496,91,false
497,91,false
498,91,false
499,68,false
499,82,false
500,68,false
500,82,false
501,68,false
501,82,false
502,78,false
503,78,false
504,69,false
505,69,false
506,81,false
507,81,false
508,81,false
509,81,false
510,81,false
511,0,false
512,0,false
513,0,false
514,0,false
515,0,false
516,0,false
517,57,false
518,57,false
519,57,false
520,81,false
521,86,false
522,86,false
523,81,true
524,81,true
525,78,false
526,78,false
527,78,false
528,78,false
529,78,false
530,81,false
531,81,false
532,95,false
532,96,false
533,95,false
533,96,false
534,95,false
534,96,false
535,95,false
535,96,false
536,97,false
537,97,false
538,57,false
539,57,false
540,69,false
541,69,false
542,69,false
543,69,false
544,71,false
545,0,false
546,57,false
546,92,false
547,57,false
547,92,false
548,57,false
548,92,false
549,57,false
549,92,false
550,57,false
550,92,false
551,57,false
551,92,false
552,98,false
553,99,false
554,99,false
555,90,false
556,90,false
557,90,false
558,90,false
559,100,false
559,101,false
560,71,false
561,73,false
562,102,false
563,102,false
564,102,false
565,103,false
566,103,false
567,78,false
568,71,false
569,71,false
570,69,false
571,69,false
572,69,false
573,65,false
574,68,false
574,81,false
575,104,false
576,105,false
577,65,false
578,68,false
579,69,false
580,69,false
581,69,false
582,68,false
583,82,false
584,82,false
585,65,false
586,106,false
587,106,false
588,89,false
589,89,false
590,65,false
591,65,false
592,65,false
593,81,false
594,81,false
595,78,false
596,78,false
597,107,false
598,107,false
599,96,false
599,108,false
599,73,false
600,96,false
600,108,false
600,73,false
601,96,false
601,108,false
601,73,false
602,96,false
602,108,false
602,73,false
603,96,false
603,108,false
603,73,false
604,89,false
605,89,false
606,78,false
607,0,false
608,0,false
609,109,false
610,71,false
611,110,true
612,110,true
613,110,true
614,87,false
615,87,false
616,61,false
617,0,false
618,0,false
619,111,false
620,89,false
620,90,false
621,89,false
621,90,false
622,89,false
622,90,false
623,112,true
623,113,true
624,112,true
624,113,true
625,88,false
626,88,false
627,88,false
628,88,false
629,0,false
630,71,false
631,78,false
632,78,false
633,89,false
633,90,false
634,89,false
634,90,false
635,89,false
635,90,false
636,89,false
636,90,false
637,89,false
637,90,false
